Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
15/10/2015,"Haigh, Sarah",Engineering and Physical Sciences,,26780684,10.1016/j.ultramic.2015.10.007,"Haigh, Sarah",Elsevier,Ultramicroscopy,0304-3991,Journal Article/Review (Hybrid journal),STEM-EDX Tomography of Bimetallic Nanoparticles: A Methodological Investigation,22/10/2015,RCUK,,,EPSRC,,,EP/M010619/1,,,16/11/2015," € 2,356.31 ",,,EUR,1745.93,,,,No,,1745.93,CC-BY,Yes,Yes,
11/08/2015,"Foster, David",Engineering and Physical Sciences,,26291072,10.1016/j.visres.2015.07.005,"Foster, David",Elsevier,Vision Research,0042-6989,Journal Article/Review (Hybrid journal),Spatial distributions of local illumination color in natural scenes,26/9/2015,RCUK,,,EPSRC,,,EP/B000257/1,,,14/9/2015," € 1,936.70 ",,,EUR,1360.9,,,,No,,1360.9,CC BY,Yes,Yes,
03/02/2016,"Binks, David",Faculty of Engineering and Physical Sciences,,,10.1016/j.chemphys.2016.02.003,"Binks, David",Elsevier,Chemical Physics,0301-0104,Journal Article/Review (Hybrid journal),Ultrafast Exciton Dynamics in CdxHg(1-x)Te alloy QDs,24/02/2016,RCUK,,,EPSRC,,,,,,15/03/2016," € 3,052.49 ",,,USD,2310.39,,,,Yes,,2310.39,CC-BY,Yes,Yes,
26/01/2016,"Shuaib, Norshah",Faculty of Engineering and Physical Sciences,,,10.1016/j.jclepro.2016.01.070,"Shuaib, Norshah",Elsevier,Journal of Cleaner Production,0959-6526,Journal Article/Review (Hybrid journal),Energy demand in mechanical recycling of glass fibre reinforced thermoset plastic composites,03/02/2016,RCUK,,,EPSRC,,,,,,13/03/2016," € 3,534.46 ",,,EUR,2675.19,,,,No,,2675.19,CC-BY,Yes,Yes,
27/01/2016,"Zhang, Chaoqun",Faculty of Engineering and Physical Sciences,,,10.1016/j.jmatprotec.2016.01.008,"Zhang, Chaoqun",Elsevier,Journal of Materials Processing Technology,0924-0136,Journal Article/Review (Hybrid journal),Dissimilar ultrasonic spot welding of aerospace aluminum alloy AA2139 to titanium alloy TiAl6V4,19/01/2016,RCUK,,,EPSRC,,,,,,16/02/2016," € 3,320.24 ",,,EUR,2433.66,,,,No,,2433.66,CC-BY,Yes,Yes,
28/01/2016,"Miozzo, Marcela",Faculty of Humanities,,,10.1016/j.respol.2016.01.011,"Miozzo, Marcela",Elsevier,Research Policy,0048-7333,Journal Article/Review (Hybrid journal),Growing fast or slow?: understanding the variety of paths and the speed of early growth of entrepreneurial science-based firms,22/02/2016,RCUK,,,ESRC,,,,,,01/03/2016," € 1,927.88 ",,,EUR,1459.19,,,,No,,1459.19,CC-BY,Yes,Yes,
28/01/2016,"Geels, Frank",Faculty of Humanities,,,10.1016/j.respol.2016.01.015,"Geels, Frank",Elsevier,Research Policy,0048-7333,Journal Article/Review (Hybrid journal),The enactment of socio-technical transition pathways: A reformulated typology illustrated with a comparative multi-level analysis of the German and UK low-carbon electricity transitions (1990-2014),11/02/2016,RCUK,,,EPSRC,,,,,,23/02/2016," € 1,927.88 ",,,EUR,1459.19,,,,No,,1459.19,CC-BY,Yes,Yes,
28/01/2016,"Nemcova, Aneta",Faculty of Engineering and Physical Sciences,,,10.1016/j.surfcoat.2016.01.042,"Nemcova, Aneta",Elsevier,Surface and Coatings Technology,0257-8972,Journal Article/Review (Hybrid journal),Influence of coating morphology on adhesive bonding of titanium pre-treated by plasma electrolytic oxidation,23/01/2016,RCUK,,,EPSRC,,,,,,07/03/2016," € 2,570.52 ",,,EUR,1945.59,,,,Yes,,1945.59,CC-BY,Yes,Yes,
29/01/2016,"Hashimoto, Teruo",Faculty of Engineering and Physical Sciences,,,10.1016/j.ultramic.2016.01.005,"Hashimoto, Teruo",Elsevier,Ultramicroscopy,0304-3991,Journal Article/Review (Hybrid journal),3D Imaging by Serial Block Face Scanning Electron Microscopy for Materials Science Using Ultramicrotomy,29/01/2016,RCUK,,,EPSRC,,,,,,01/03/2016," € 2,570.52 ",,,EUR,1945.59,,,,Yes,,1945.59,CC-BY,Yes,Yes,
18/01/2016,"Hartley, Margaret",Faculty of Engineering and Physical Sciences,,,10.1016/j.epsl.2016.01.018,"Hartley, Margaret",Elsevier,Earth and Planetary Science Letters,0012-821X,Journal Article/Review (Hybrid journal),Tracking timescales of short-term precursors to large basaltic fissure eruptions through Fe–Mg diffusion in olivine,03/02/2016,RCUK,,,NERC,,,,,,16/02/2016," € 3,213.14 ",,,EUR,2355.16,,,,No,,2355.16,CC-BY,Yes,Yes,
11/12/2015,"Vencovska, Alena",School of Mathematics,,,10.1016/j.jal.2015.11.002,"Vencovska, Alena",Elsevier,Journal of Applied Logic,1570-8683,Journal Article/Review (Hybrid journal),The principle of signature exchangeability,14/11/2015,RCUK,,,EPSRC,,,EP/L023989/1,,,18/01/2016," € 1,606.57 ",,,EUR,1131.39,,,,No,,1131.39,CC-BY,Yes,Yes,
23/11/2015,Jakob Edler,Faculty of Humanities,,,10.1016/j.respol.2015.10.010,Jakob Edler,Elsevier,Research Policy,0048-7333,Journal Article/Review (Hybrid journal),Connecting demand and supply: The role of intermediation in public procurement of innovation,21/11/2015,RCUK,,,ESRC,,,,,,5/1/2016," € 1,927.88 ",,,EUR,1381.4,,,,No,,1381.4,CC-BY,Yes,Yes,
